t1,t2,v,s
56,132,0.30927,0.1
193,235,0.10073,0.1
72,143,0.31484,0.1
84,216,0.22516,0.1
62,243,0.17152,0.1
191,227,0.10774,0.1
62,66,0.18138,0.1
26,36,0.01651,0.1
17,76,0.20236,0.1
46,191,0.17060,0.1
114,167,0.31400,0.1
133,142,0.29608,0.1
105,149,0.32087,0.1
37,72,0.19380,0.1
118,124,0.29567,0.1
55,92,0.23881,0.1
126,184,0.30618,0.1
70,194,0.24120,0.1
56,121,0.29742,0.1
71,143,0.31419,0.1
179,211,0.13834,0.1
70,107,0.27752,0.1
32,165,0.19197,0.1
85,117,0.29281,0.1
80,138,0.31652,0.1
100,194,0.28916,0.1
84,93,0.23799,0.1
59,68,0.18560,0.1
36,198,0.09934,0.1
122,138,0.30840,0.1
10,192,0.10783,0.1
112,247,0.28021,0.1
6,245,0.00008,0.1
8,94,0.24240,0.1
39,61,0.16620,0.1
14,36,0.01651,0.1
79,207,0.22882,0.1
115,134,0.31009,0.1
90,220,0.23522,0.1
61,90,0.23364,0.1
91,130,0.31173,0.1
87,143,0.31850,0.1
86,219,0.22616,0.1
12,188,0.11891,0.1
131,143,0.30061,0.1
42,122,0.29388,0.1
148,250,0.26432,0.1
133,247,0.28959,0.1
40,55,0.14164,0.1
119,236,0.28627,0.1
22,109,0.27538,0.1
191,226,0.10774,0.1
53,254,0.13029,0.1
5,23,0.00083,0.1
15,198,0.08639,0.1
64,161,0.28396,0.1
215,247,0.01382,0.1
93,202,0.26431,0.1
45,101,0.26182,0.1
58,251,0.15975,0.1
64,108,0.28095,0.1
128,209,0.29623,0.1
85,205,0.24334,0.1
4,125,0.29066,0.1
143,165,0.28048,0.1
16,91,0.23235,0.1
31,122,0.28979,0.1
58,236,0.15983,0.1
141,241,0.27948,0.1
83,231,0.21526,0.1
213,231,0.01955,0.1
156,181,0.23307,0.1
99,221,0.25576,0.1
42,121,0.29191,0.1
37,37,0.01651,0.1
28,127,0.29173,0.1
150,178,0.26128,0.1
16,63,0.17146,0.1
127,247,0.29147,0.1
38,254,0.02533,0.1
113,137,0.31411,0.1
3,159,0.21194,0.1
83,155,0.30825,0.1
46,228,0.08604,0.1
34,205,0.06508,0.1
141,240,0.27948,0.1
73,94,0.24398,0.1
73,100,0.26296,0.1
144,243,0.27494,0.1
53,89,0.22897,0.1
205,231,0.05575,0.1
156,200,0.23279,0.1
164,171,0.19593,0.1
109,179,0.30570,0.1
150,198,0.26053,0.1
6,159,0.21195,0.1
166,199,0.18873,0.1
53,177,0.22736,0.1
48,71,0.18962,0.1
68,121,0.29840,0.1
101,108,0.27813,0.1
10,148,0.26435,0.1
158,191,0.22255,0.1
11,179,0.13837,0.1
117,204,0.29654,0.1
30,180,0.14111,0.1
113,124,0.29871,0.1
45,119,0.29098,0.1
49,225,0.10281,0.1
109,175,0.30824,0.1
21,143,0.27510,0.1
106,114,0.28558,0.1
82,177,0.27726,0.1
123,205,0.29805,0.1
93,161,0.30674,0.1
50,149,0.29252,0.1
243,253,0.00010,0.1
162,223,0.20319,0.1
152,176,0.25327,0.1
71,92,0.23859,0.1
190,230,0.11367,0.1
168,171,0.18142,0.1
161,239,0.20316,0.1
39,107,0.27364,0.1
75,152,0.30981,0.1
242,246,0.00010,0.1
74,155,0.30348,0.1
33,187,0.12361,0.1
63,217,0.17726,0.1
99,150,0.32046,0.1
72,229,0.19404,0.1
4,154,0.24223,0.1
53,146,0.30181,0.1
110,206,0.29042,0.1
17,82,0.21506,0.1
139,223,0.28335,0.1
123,237,0.28943,0.1
70,160,0.29282,0.1
111,252,0.27788,0.1
61,71,0.18946,0.1
143,235,0.27495,0.1
77,132,0.31292,0.1
133,251,0.28959,0.1
9,90,0.23234,0.1
132,248,0.29076,0.1
52,242,0.13033,0.1
94,94,0.24240,0.1
28,125,0.29091,0.1
104,142,0.31905,0.1
117,130,0.30474,0.1
104,149,0.32087,0.1
43,202,0.11539,0.1
72,169,0.27863,0.1
101,168,0.30887,0.1
26,213,0.02097,0.1
98,165,0.30857,0.1
100,204,0.27906,0.1
71,165,0.28269,0.1
79,129,0.31130,0.1
206,234,0.05575,0.1
87,151,0.31507,0.1
143,216,0.27563,0.1
156,250,0.23175,0.1
7,204,0.06435,0.1
161,238,0.20316,0.1
33,106,0.27281,0.1
49,107,0.27630,0.1
7,98,0.25412,0.1
141,171,0.28604,0.1
93,187,0.28066,0.1
97,176,0.29676,0.1
160,192,0.21266,0.1
67,168,0.27579,0.1
47,248,0.08522,0.1
136,214,0.28963,0.1
54,202,0.18858,0.1
17,112,0.28023,0.1
15,166,0.18855,0.1
84,139,0.31773,0.1
102,118,0.29290,0.1
95,146,0.32012,0.1
111,124,0.29950,0.1
106,244,0.27252,0.1
148,155,0.26704,0.1
113,167,0.31383,0.1
98,185,0.29198,0.1
61,168,0.26851,0.1
49,66,0.18159,0.1
227,248,0.00106,0.1
137,189,0.29312,0.1
25,136,0.28820,0.1
156,242,0.23175,0.1
191,215,0.10775,0.1
156,206,0.23255,0.1
98,100,0.26052,0.1
22,209,0.03725,0.1
151,193,0.25290,0.1
62,238,0.17155,0.1
92,252,0.23726,0.1
91,120,0.29830,0.1
141,196,0.28406,0.1
123,172,0.31163,0.1
154,167,0.24393,0.1
62,141,0.31237,0.1
41,233,0.03747,0.1
68,159,0.29139,0.1
44,140,0.29655,0.1
140,165,0.29117,0.1
72,85,0.21959,0.1
164,249,0.19563,0.1
3,223,0.00306,0.1
51,109,0.27996,0.1
189,203,0.11370,0.1
132,195,0.29920,0.1
84,171,0.28786,0.1
41,104,0.27070,0.1
24,226,0.00288,0.1
159,241,0.21194,0.1
114,162,0.31643,0.1
84,132,0.31358,0.1
36,122,0.29090,0.1
166,200,0.18873,0.1
13,181,0.13295,0.1
150,198,0.26053,0.1
124,158,0.31380,0.1
31,219,0.01129,0.1
185,190,0.12347,0.1
20,216,0.01447,0.1
0,37,0.01651,0.1
79,160,0.29912,0.1
68,112,0.28716,0.1
187,230,0.11880,0.1
10,135,0.28804,0.1
29,124,0.29091,0.1
156,190,0.23301,0.1
35,167,0.18722,0.1
212,228,0.02718,0.1
71,168,0.27952,0.1
99,231,0.25427,0.1
53,240,0.13033,0.1
14,188,0.11900,0.1
90,134,0.31538,0.1
128,148,0.31020,0.1
85,236,0.21912,0.1
101,161,0.31331,0.1
72,104,0.27360,0.1
22,231,0.00128,0.1
75,93,0.23847,0.1
200,212,0.07939,0.1
174,211,0.15982,0.1
190,190,0.11367,0.1
137,138,0.28603,0.1
47,240,0.08527,0.1
166,206,0.18867,0.1
56,179,0.23629,0.1
134,167,0.30154,0.1
147,234,0.26433,0.1
94,103,0.26718,0.1
137,176,0.29463,0.1
40,104,0.27070,0.1
134,188,0.29876,0.1
72,104,0.27360,0.1
52,176,0.23221,0.1
108,219,0.27709,0.1
135,151,0.29762,0.1
104,163,0.31410,0.1
113,126,0.30201,0.1
44,189,0.16332,0.1
158,225,0.22164,0.1
159,223,0.21197,0.1
44,44,0.06852,0.1
64,128,0.30649,0.1
71,154,0.30469,0.1
171,226,0.16716,0.1
184,220,0.12805,0.1
50,57,0.15127,0.1
5,243,0.00012,0.1
60,98,0.25677,0.1
9,131,0.29076,0.1
61,230,0.16653,0.1
80,157,0.30392,0.1
181,196,0.13289,0.1
78,232,0.20696,0.1
139,182,0.28999,0.1
91,227,0.23277,0.1
92,96,0.24845,0.1
173,222,0.15976,0.1
51,71,0.18962,0.1
45,168,0.21857,0.1
126,202,0.30047,0.1
103,236,0.26497,0.1
178,242,0.14472,0.1
65,183,0.24651,0.1
57,176,0.24447,0.1
36,54,0.14161,0.1
154,183,0.24399,0.1
61,94,0.24420,0.1
11,78,0.20674,0.1
60,129,0.30914,0.1
129,162,0.30761,0.1
28,125,0.29091,0.1
56,250,0.15120,0.1
106,126,0.30418,0.1
26,195,0.09471,0.1
105,251,0.26923,0.1
34,185,0.13102,0.1
63,204,0.20826,0.1
141,168,0.28618,0.1
20,139,0.28328,0.1
154,249,0.24223,0.1
27,42,0.05215,0.1
43,152,0.26825,0.1
14,202,0.07237,0.1
186,234,0.12346,0.1
83,169,0.28873,0.1
166,178,0.18871,0.1
36,41,0.03719,0.1
38,150,0.26619,0.1
211,229,0.02718,0.1
150,181,0.26119,0.1
85,91,0.23284,0.1
80,189,0.26214,0.1
54,60,0.16623,0.1
212,236,0.02718,0.1
157,159,0.22189,0.1
121,202,0.29977,0.1
239,252,0.00010,0.1
186,216,0.12347,0.1
17,164,0.19584,0.1
77,160,0.29758,0.1
11,55,0.14158,0.1
47,163,0.23824,0.1
85,156,0.30932,0.1
98,210,0.26595,0.1
57,215,0.15993,0.1
121,144,0.31424,0.1
189,237,0.11367,0.1
124,142,0.30945,0.1
101,122,0.29963,0.1
24,81,0.21114,0.1
77,234,0.20250,0.1
122,154,0.31560,0.1
168,191,0.18160,0.1
81,125,0.30467,0.1
181,210,0.13288,0.1
124,223,0.29112,0.1
231,241,0.00045,0.1
10,80,0.21113,0.1
108,140,0.31689,0.1
170,227,0.17455,0.1
144,168,0.28048,0.1
2,204,0.06434,0.1
166,227,0.18840,0.1
17,66,0.18129,0.1
61,254,0.16614,0.1
110,130,0.30735,0.1
40,181,0.15808,0.1
52,127,0.30376,0.1
138,177,0.29438,0.1
46,102,0.26758,0.1
176,216,0.15227,0.1
22,78,0.20675,0.1
188,202,0.11883,0.1
149,197,0.26053,0.1
55,183,0.22395,0.1
84,142,0.31809,0.1
156,158,0.23214,0.1
121,163,0.31474,0.1
53,180,0.22319,0.1
120,201,0.29977,0.1
61,153,0.29821,0.1
44,63,0.17166,0.1
21,61,0.16612,0.1
234,239,0.00031,0.1
34,49,0.10142,0.1
11,204,0.06444,0.1
61,108,0.28087,0.1
26,158,0.22226,0.1
105,226,0.26971,0.1
54,91,0.23369,0.1
83,157,0.30513,0.1
124,157,0.31380,0.1
36,136,0.29088,0.1
56,238,0.15127,0.1
71,166,0.28269,0.1
75,234,0.19839,0.1
48,133,0.30432,0.1
141,208,0.28201,0.1
58,78,0.20729,0.1
157,198,0.22245,0.1
68,183,0.25217,0.1
2,18,0.00053,0.1
41,200,0.10962,0.1
23,130,0.29160,0.1
5,8,0.00004,0.1
181,193,0.13288,0.1
121,241,0.28788,0.1
183,214,0.12806,0.1
47,113,0.28458,0.1
152,162,0.25295,0.1
78,79,0.20674,0.1
181,221,0.13284,0.1
53,133,0.30777,0.1
209,211,0.03648,0.1
51,147,0.29587,0.1
81,228,0.21162,0.1
154,225,0.24227,0.1
107,110,0.27930,0.1
73,147,0.31263,0.1
52,139,0.30700,0.1
94,245,0.24242,0.1
136,187,0.29622,0.1
5,177,0.14473,0.1
74,133,0.31396,0.1
111,133,0.31171,0.1
6,160,0.21195,0.1
10,228,0.00118,0.1
72,91,0.23339,0.1
118,182,0.30806,0.1
124,146,0.31175,0.1
166,188,0.18876,0.1
43,135,0.29675,0.1
203,222,0.06434,0.1
77,115,0.29022,0.1
103,139,0.31837,0.1
52,105,0.27322,0.1
215,244,0.01382,0.1
130,186,0.30339,0.1
87,180,0.27928,0.1
100,148,0.32095,0.1
4,208,0.04656,0.1
7,31,0.00421,0.1
17,65,0.17647,0.1
100,186,0.29514,0.1
55,248,0.14161,0.1
95,189,0.28212,0.1
100,233,0.25998,0.1
121,152,0.31675,0.1
87,209,0.23865,0.1
177,182,0.14476,0.1
67,135,0.31346,0.1
109,159,0.31729,0.1
70,151,0.30771,0.1
14,187,0.11900,0.1
147,211,0.26528,0.1
78,85,0.21936,0.1
2,105,0.26922,0.1
187,214,0.11881,0.1
7,71,0.18924,0.1
101,188,0.29393,0.1
65,95,0.24415,0.1
89,238,0.22786,0.1
28,151,0.25171,0.1
59,71,0.18950,0.1
50,144,0.30136,0.1
73,121,0.29853,0.1
155,205,0.23255,0.1
117,188,0.30560,0.1
53,108,0.28029,0.1
91,216,0.23789,0.1
114,142,0.31612,0.1
133,175,0.30048,0.1
174,222,0.15976,0.1
32,95,0.24254,0.1
54,108,0.28052,0.1
57,226,0.15234,0.1
151,179,0.25323,0.1
53,245,0.13030,0.1
51,207,0.15022,0.1
151,163,0.25306,0.1
82,207,0.23598,0.1
71,90,0.23344,0.1
54,164,0.26485,0.1
114,116,0.28529,0.1
5,163,0.19564,0.1
46,144,0.29479,0.1
28,93,0.23730,0.1
120,175,0.31052,0.1
203,243,0.06434,0.1
193,222,0.10073,0.1
104,147,0.32082,0.1
123,138,0.30840,0.1
0,146,0.26996,0.1
47,183,0.18643,0.1
146,196,0.27326,0.1
86,161,0.30191,0.1
63,242,0.17152,0.1
167,215,0.18138,0.1
44,119,0.29098,0.1
91,103,0.26771,0.1
187,203,0.11883,0.1
227,245,0.00106,0.1
117,178,0.30939,0.1
0,37,0.01651,0.1
94,128,0.30734,0.1
45,125,0.29705,0.1
94,242,0.24243,0.1
21,191,0.10824,0.1
41,168,0.20171,0.1
138,139,0.28769,0.1
133,232,0.28963,0.1
12,252,0.00020,0.1
78,166,0.29031,0.1
40,56,0.15126,0.1
240,247,0.00010,0.1
3,158,0.22161,0.1
41,253,0.03723,0.1
64,94,0.24415,0.1
76,111,0.28410,0.1
109,136,0.31402,0.1
124,146,0.31175,0.1
161,174,0.20364,0.1
100,252,0.25990,0.1
36,99,0.25459,0.1
98,137,0.31775,0.1
90,130,0.31173,0.1
17,60,0.16612,0.1
18,198,0.08659,0.1
196,197,0.09356,0.1
86,101,0.26235,0.1
82,118,0.29583,0.1
73,159,0.29445,0.1
153,165,0.24386,0.1
43,147,0.27910,0.1
45,132,0.30022,0.1
24,216,0.01484,0.1
0,59,0.15973,0.1
22,115,0.28249,0.1
102,107,0.27390,0.1
126,135,0.30232,0.1
13,69,0.18539,0.1
71,93,0.23859,0.1
109,136,0.31402,0.1
96,253,0.24778,0.1
199,217,0.07939,0.1
66,126,0.30671,0.1
9,114,0.28244,0.1
108,121,0.29372,0.1
64,203,0.21237,0.1
28,235,0.00256,0.1
32,191,0.11274,0.1
80,137,0.31652,0.1
0,4,0.00002,0.1
139,141,0.28465,0.1
15,96,0.24777,0.1
45,92,0.23833,0.1
22,62,0.17147,0.1
60,86,0.22403,0.1
10,86,0.22308,0.1
18,56,0.15118,0.1
115,136,0.31178,0.1
34,163,0.20112,0.1
20,235,0.00083,0.1
114,203,0.29533,0.1
125,229,0.29077,0.1
91,162,0.30511,0.1
56,134,0.31000,0.1
136,243,0.28802,0.1
38,95,0.24292,0.1
0,186,0.12346,0.1
37,68,0.18548,0.1
13,151,0.25095,0.1
22,117,0.28440,0.1
38,128,0.29427,0.1
70,161,0.28912,0.1
22,50,0.11676,0.1
60,153,0.29821,0.1
214,250,0.01955,0.1
26,48,0.10141,0.1
3,139,0.28314,0.1
107,154,0.32012,0.1
84,222,0.22125,0.1
30,91,0.23241,0.1
103,144,0.32027,0.1
88,234,0.22792,0.1
82,237,0.21512,0.1
88,225,0.22856,0.1
104,163,0.31410,0.1
103,116,0.28983,0.1
163,199,0.19604,0.1
123,137,0.30840,0.1
45,200,0.13493,0.1
61,214,0.17771,0.1
76,102,0.26854,0.1
103,174,0.30602,0.1
163,189,0.19609,0.1
124,128,0.29397,0.1
117,199,0.29917,0.1
171,177,0.16726,0.1
42,88,0.22849,0.1
42,145,0.28356,0.1
148,194,0.26725,0.1
174,188,0.15987,0.1
110,148,0.31983,0.1
10,210,0.03660,0.1
89,135,0.31653,0.1
36,100,0.26042,0.1
59,133,0.31084,0.1
82,239,0.21510,0.1
97,121,0.29756,0.1
52,130,0.30631,0.1
68,170,0.27459,0.1
158,170,0.22245,0.1
75,223,0.19978,0.1
144,205,0.27748,0.1
57,191,0.21805,0.1
128,232,0.29152,0.1
50,121,0.29588,0.1
27,104,0.26928,0.1
110,159,0.31740,0.1
23,110,0.27792,0.1
92,103,0.26747,0.1
171,209,0.16727,0.1
22,150,0.25859,0.1
105,128,0.30482,0.1
227,248,0.00106,0.1
16,55,0.14158,0.1
33,56,0.15120,0.1
69,208,0.21033,0.1
89,118,0.29561,0.1
8,49,0.10141,0.1
3,194,0.10073,0.1
20,76,0.20236,0.1
23,124,0.29075,0.1
79,151,0.31171,0.1
50,222,0.12034,0.1
217,226,0.01000,0.1
145,193,0.27345,0.1
198,247,0.08617,0.1
126,136,0.30232,0.1
2,61,0.16612,0.1
27,67,0.18130,0.1
179,199,0.13836,0.1
42,91,0.23311,0.1
158,168,0.22239,0.1
40,217,0.04634,0.1
11,205,0.05585,0.1
88,111,0.28360,0.1
83,148,0.31630,0.1
134,168,0.30154,0.1
50,149,0.29252,0.1
87,131,0.31368,0.1
1,192,0.10774,0.1
170,238,0.17455,0.1
18,53,0.13026,0.1
126,201,0.30047,0.1
55,140,0.30871,0.1
59,66,0.18146,0.1
180,214,0.13833,0.1
41,115,0.28474,0.1
66,184,0.24957,0.1
30,198,0.08953,0.1
200,244,0.07939,0.1
33,142,0.28099,0.1
2,195,0.09356,0.1
115,199,0.29812,0.1
75,153,0.30707,0.1
128,248,0.29147,0.1
143,181,0.27987,0.1
172,179,0.16728,0.1
63,117,0.29265,0.1
99,227,0.25447,0.1
11,192,0.10783,0.1
34,243,0.01081,0.1
0,204,0.06434,0.1
161,166,0.20339,0.1
24,110,0.27793,0.1
118,162,0.31586,0.1
24,66,0.18130,0.1
95,185,0.28527,0.1
18,41,0.03719,0.1
19,120,0.28791,0.1
16,98,0.25414,0.1
55,90,0.23369,0.1
177,242,0.14472,0.1
112,190,0.30319,0.1
21,48,0.10141,0.1
60,128,0.30598,0.1
139,223,0.28335,0.1
63,81,0.21170,0.1
131,133,0.29277,0.1
82,239,0.21510,0.1
46,220,0.09091,0.1
139,180,0.29016,0.1
199,206,0.07939,0.1
119,248,0.28625,0.1
43,58,0.15985,0.1
43,117,0.28774,0.1
204,249,0.06434,0.1
102,182,0.30001,0.1
77,80,0.21132,0.1
76,244,0.20240,0.1
37,102,0.26554,0.1
65,170,0.27017,0.1
171,234,0.16715,0.1
34,97,0.24803,0.1
20,142,0.27963,0.1
163,173,0.19598,0.1
91,104,0.27272,0.1
65,167,0.27349,0.1
110,190,0.30215,0.1
1,26,0.00148,0.1
131,133,0.29277,0.1
40,242,0.03729,0.1
59,129,0.30869,0.1
226,251,0.00183,0.1
83,220,0.21832,0.1
139,203,0.28703,0.1
0,128,0.29146,0.1
151,197,0.25270,0.1
45,58,0.15987,0.1
0,103,0.26493,0.1
99,227,0.25447,0.1
67,97,0.24984,0.1
124,131,0.30106,0.1
69,94,0.24407,0.1
149,155,0.26027,0.1
104,190,0.29779,0.1
37,190,0.12572,0.1
105,163,0.31410,0.1
134,172,0.30108,0.1
19,91,0.23235,0.1
57,193,0.21381,0.1
9,176,0.15226,0.1
145,167,0.27452,0.1
1,130,0.29149,0.1
98,186,0.29198,0.1
33,240,0.00680,0.1
62,246,0.17150,0.1
75,162,0.29265,0.1
215,226,0.01382,0.1
37,72,0.19380,0.1
110,118,0.29008,0.1
67,85,0.21974,0.1
62,213,0.18277,0.1
203,225,0.06434,0.1
102,252,0.26494,0.1
102,194,0.29226,0.1
213,222,0.01955,0.1
236,248,0.00016,0.1
133,157,0.30199,0.1
110,141,0.31756,0.1
151,152,0.25090,0.1
127,239,0.29148,0.1
86,215,0.22903,0.1
157,187,0.22258,0.1
155,211,0.23218,0.1
147,223,0.26443,0.1
216,228,0.01382,0.1
102,122,0.29897,0.1
5,165,0.18841,0.1
90,159,0.30758,0.1
135,165,0.29872,0.1
36,115,0.28350,0.1
102,226,0.26546,0.1
125,164,0.31269,0.1
80,234,0.21127,0.1
25,212,0.02817,0.1
179,210,0.13835,0.1
33,114,0.28287,0.1
170,226,0.17456,0.1
155,242,0.23175,0.1
38,199,0.09997,0.1
106,147,0.32058,0.1
48,250,0.10144,0.1
62,241,0.17152,0.1
108,127,0.30351,0.1
150,242,0.25833,0.1
46,137,0.30097,0.1
163,188,0.19608,0.1
114,230,0.28258,0.1
191,204,0.10776,0.1
40,81,0.21148,0.1
8,111,0.27787,0.1
69,193,0.23845,0.1
22,201,0.07282,0.1
88,101,0.26218,0.1
41,191,0.13537,0.1
33,234,0.00700,0.1
212,248,0.02718,0.1
75,161,0.29265,0.1
133,144,0.29745,0.1
43,164,0.22201,0.1
108,136,0.31402,0.1
121,166,0.31414,0.1
25,153,0.24262,0.1
129,167,0.30686,0.1
85,90,0.23284,0.1
135,218,0.28885,0.1
167,201,0.18157,0.1
11,160,0.21199,0.1
32,204,0.07004,0.1
101,186,0.29514,0.1
61,203,0.20386,0.1
61,189,0.23190,0.1
144,155,0.27971,0.1
59,134,0.31084,0.1
116,165,0.31480,0.1
34,39,0.02529,0.1
59,203,0.19859,0.1
103,143,0.32027,0.1
10,99,0.25413,0.1
90,102,0.26771,0.1
195,199,0.09356,0.1
33,162,0.20645,0.1
0,123,0.28940,0.1
28,117,0.28451,0.1
177,205,0.14480,0.1
179,207,0.13835,0.1
95,231,0.24256,0.1
100,230,0.26010,0.1
132,210,0.29435,0.1
46,188,0.17924,0.1
106,212,0.27942,0.1
106,160,0.31703,0.1
8,200,0.07942,0.1
67,98,0.25671,0.1
120,127,0.29769,0.1
209,247,0.03648,0.1
119,192,0.30451,0.1
182,214,0.13286,0.1
108,173,0.30955,0.1
54,183,0.22395,0.1
26,64,0.17647,0.1
168,178,0.18154,0.1
101,221,0.26142,0.1
15,161,0.20330,0.1
76,242,0.20240,0.1
56,88,0.22896,0.1
69,165,0.28097,0.1
97,182,0.29117,0.1
53,221,0.13367,0.1
5,53,0.13026,0.1
136,244,0.28802,0.1
23,245,0.00089,0.1
212,248,0.02718,0.1
111,132,0.30977,0.1
116,220,0.28576,0.1
177,218,0.14474,0.1
89,191,0.27072,0.1
50,179,0.21464,0.1
118,165,0.31456,0.1
181,215,0.13286,0.1
93,231,0.23742,0.1
28,236,0.00256,0.1
151,155,0.25210,0.1
34,150,0.26168,0.1
107,197,0.29348,0.1
185,195,0.12349,0.1
214,248,0.01955,0.1
63,124,0.30365,0.1
67,154,0.30252,0.1
120,147,0.31591,0.1
49,243,0.10149,0.1
33,41,0.03719,0.1
102,103,0.26493,0.1
120,204,0.29857,0.1
121,235,0.28789,0.1
82,131,0.31345,0.1
169,240,0.17455,0.1
199,243,0.07939,0.1
163,203,0.19599,0.1
19,139,0.28325,0.1
53,221,0.13367,0.1
19,109,0.27537,0.1
52,68,0.18570,0.1
166,175,0.18868,0.1
47,128,0.30016,0.1
89,245,0.22782,0.1
43,64,0.17666,0.1
72,176,0.26861,0.1
202,230,0.07213,0.1
9,187,0.11883,0.1
56,111,0.28376,0.1
99,140,0.31893,0.1
49,237,0.10152,0.1
26,213,0.02097,0.1
3,13,0.00016,0.1
106,224,0.27329,0.1
45,186,0.17138,0.1
51,174,0.22930,0.1
170,189,0.17478,0.1
125,180,0.30814,0.1
53,65,0.17670,0.1
68,174,0.26760,0.1
154,163,0.24377,0.1
23,230,0.00152,0.1
93,138,0.31780,0.1
28,237,0.00254,0.1
69,83,0.21560,0.1
188,203,0.11883,0.1
72,86,0.22376,0.1
64,81,0.21166,0.1
66,248,0.18131,0.1
36,121,0.28922,0.1
157,166,0.22231,0.1
174,220,0.15976,0.1
9,147,0.26433,0.1
106,185,0.30157,0.1
123,153,0.31560,0.1
38,137,0.29074,0.1
136,186,0.29645,0.1
59,112,0.28685,0.1
72,254,0.19370,0.1
76,199,0.24058,0.1
195,243,0.09356,0.1
99,144,0.32047,0.1
106,122,0.29760,0.1
134,189,0.29845,0.1
43,177,0.17840,0.1
204,227,0.06434,0.1
199,227,0.07939,0.1
151,164,0.25306,0.1
173,241,0.15974,0.1
78,170,0.28486,0.1
34,110,0.27846,0.1
12,29,0.00239,0.1
81,119,0.29587,0.1
37,70,0.18934,0.1
95,118,0.29502,0.1
187,210,0.11882,0.1
149,225,0.25838,0.1
80,169,0.28691,0.1
23,194,0.10137,0.1
122,142,0.31144,0.1
33,250,0.00674,0.1
105,218,0.27193,0.1
23,107,0.27254,0.1
107,111,0.27930,0.1
131,132,0.29075,0.1
65,211,0.19179,0.1
115,154,0.31908,0.1
49,193,0.17720,0.1
50,161,0.25827,0.1
29,223,0.00544,0.1
158,245,0.22161,0.1
145,207,0.27182,0.1
106,122,0.29760,0.1
43,81,0.21159,0.1
29,71,0.18926,0.1
131,172,0.30370,0.1
103,164,0.31314,0.1
227,245,0.00106,0.1
31,147,0.26554,0.1
11,42,0.05215,0.1
97,146,0.32048,0.1
5,158,0.22162,0.1
61,225,0.16720,0.1
15,51,0.11676,0.1
14,250,0.00033,0.1
125,199,0.30158,0.1
67,181,0.25200,0.1
51,247,0.11679,0.1
9,186,0.12349,0.1
142,215,0.28028,0.1
68,78,0.20709,0.1
95,176,0.29418,0.1
201,211,0.07213,0.1
9,72,0.19368,0.1
129,191,0.30217,0.1
84,111,0.28385,0.1
139,142,0.28465,0.1
66,246,0.18133,0.1
149,165,0.26127,0.1
194,203,0.10075,0.1
6,96,0.24777,0.1
44,150,0.27908,0.1
139,220,0.28362,0.1
53,59,0.15984,0.1
149,181,0.26119,0.1
46,116,0.28954,0.1
96,106,0.27577,0.1
105,226,0.26971,0.1
6,152,0.25090,0.1
100,197,0.28519,0.1
130,159,0.30778,0.1
174,233,0.15974,0.1
17,79,0.20675,0.1
39,165,0.20181,0.1
155,189,0.23301,0.1
76,161,0.29424,0.1
123,201,0.30039,0.1
222,223,0.00496,0.1
54,188,0.21818,0.1
57,134,0.31000,0.1
15,212,0.02745,0.1
246,253,0.00006,0.1
154,165,0.24386,0.1
117,142,0.31529,0.1
27,78,0.20676,0.1
178,207,0.14480,0.1
88,162,0.30356,0.1
155,208,0.23244,0.1
76,160,0.29758,0.1
29,50,0.11676,0.1
17,201,0.07247,0.1
23,221,0.00578,0.1
30,125,0.29109,0.1
207,249,0.04654,0.1
97,175,0.29676,0.1
146,151,0.27245,0.1
68,177,0.26036,0.1
115,195,0.30066,0.1
131,252,0.29076,0.1
48,176,0.21499,0.1
91,220,0.23522,0.1
184,186,0.12805,0.1
30,41,0.03719,0.1
115,246,0.28245,0.1
30,233,0.00451,0.1
53,162,0.26427,0.1
12,127,0.29148,0.1
21,60,0.16612,0.1
80,238,0.21120,0.1
88,141,0.31881,0.1
54,72,0.19408,0.1
117,187,0.30560,0.1
52,54,0.14161,0.1
175,211,0.15229,0.1
60,74,0.19858,0.1
98,155,0.31722,0.1
156,179,0.23308,0.1
7,209,0.03650,0.1
33,197,0.09152,0.1
48,110,0.28246,0.1
21,88,0.22781,0.1
22,86,0.22309,0.1
159,165,0.21236,0.1
92,138,0.31780,0.1
122,151,0.31540,0.1
187,231,0.11880,0.1
45,104,0.27175,0.1
29,86,0.22312,0.1
114,161,0.31643,0.1
9,78,0.20674,0.1
53,200,0.18427,0.1
31,231,0.00465,0.1
52,89,0.22897,0.1
17,107,0.27252,0.1
114,236,0.28247,0.1
48,79,0.20736,0.1
87,152,0.31507,0.1
7,217,0.01002,0.1
163,252,0.19563,0.1
47,56,0.15129,0.1
128,218,0.29281,0.1
8,29,0.00239,0.1
8,224,0.00310,0.1
30,182,0.13571,0.1
171,182,0.16730,0.1
98,226,0.25473,0.1
41,142,0.28768,0.1
111,217,0.28020,0.1
30,231,0.00465,0.1
32,170,0.17838,0.1
76,101,0.26284,0.1
213,231,0.01955,0.1
23,157,0.22197,0.1
182,213,0.13286,0.1
44,234,0.06878,0.1
19,232,0.00098,0.1
240,249,0.00010,0.1
0,233,0.00031,0.1
166,238,0.18840,0.1
88,186,0.27655,0.1
37,161,0.21124,0.1
117,170,0.31324,0.1
74,74,0.19823,0.1
119,166,0.31456,0.1
35,80,0.21124,0.1
34,112,0.28084,0.1
52,200,0.18427,0.1
111,218,0.28020,0.1
109,179,0.30570,0.1
79,138,0.31620,0.1
22,185,0.12405,0.1
